zipcode,area,bet,bath,sqft,type,built,year,price,house_id
94538.0,Grimmer,4.0,4.0,2210.0,Single Family,1955.0,509.0,6500.0,46
94538.0,Grimmer,4.0,4.0,2210.0,Single Family,1955.0,,nan,46
94538.0,Grimmer,4.0,4.0,2210.0,Single Family,1955.0,,nan,46
94538.0,Grimmer,4.0,4.0,2210.0,Single Family,1955.0,,nan,46
94536.0,Centerville,2.0,2.0,1125.0,Condo,1984.0,0.0,606985.0,47
94536.0,Centerville,2.0,2.0,1125.0,Condo,1984.0,3911.0,415000.0,47
94536.0,Centerville,2.0,2.0,1125.0,Condo,1984.0,5914.0,415000.0,47
94536.0,Centerville,2.0,2.0,1125.0,Condo,1984.0,2025.0,185000.0,47
94536.0,Centerville,2.0,2.0,1125.0,Condo,1984.0,1340.0,335000.0,47
94536.0,Centerville,2.0,2.0,1125.0,Condo,1984.0,542.0,86000.0,47
94539.0,Mission San Jose,2.0,1.5,1656.0,Condo,1988.0,0.0,1007837.0,48
94539.0,Mission San Jose,2.0,1.5,1656.0,Condo,1988.0,8021.0,222500.0,48
94539.0,Mission San Jose,2.0,1.5,1656.0,Condo,1988.0,5178.0,480000.0,48
94539.0,Mission San Jose,2.0,1.5,1656.0,Condo,1988.0,544.0,139090.0,48
94539.0,Mission San Jose,2.0,1.5,1656.0,Condo,1988.0,,nan,48
94539.0,Mission San Jose,2.0,1.5,1656.0,Condo,1988.0,,nan,48
94555.0,Northgate,3.0,2.0,1450.0,Single Family,1977.0,0.0,983671.0,49
94555.0,Northgate,3.0,2.0,1450.0,Single Family,1977.0,6627.0,287000.0,49
94555.0,Northgate,3.0,2.0,1450.0,Single Family,1977.0,565.0,3000.0,49
94555.0,Northgate,3.0,2.0,1450.0,Single Family,1977.0,,nan,49
94555.0,Northgate,3.0,2.0,1450.0,Single Family,1977.0,,nan,49
94555.0,Northgate,3.0,2.0,1450.0,Single Family,1977.0,,nan,49
94555.0,Northgate,5.0,5.0,4020.0,Single Family,1998.0,0.0,nan,50
94555.0,Northgate,5.0,5.0,4020.0,Single Family,1998.0,3633.0,1402000.0,50
94555.0,Northgate,5.0,5.0,4020.0,Single Family,1998.0,570.0,100000.0,50
94555.0,Northgate,5.0,5.0,4020.0,Single Family,1998.0,,nan,50
94555.0,Northgate,5.0,5.0,4020.0,Single Family,1998.0,,nan,50
94555.0,Northgate,5.0,5.0,4020.0,Single Family,1998.0,,nan,50
94538.0,Sundale,1.0,1.0,1200.0,,1974.0,0.0,568054.0,51
94538.0,Sundale,1.0,1.0,1200.0,,1974.0,8242.0,110000.0,51
94538.0,Sundale,1.0,1.0,1200.0,,1974.0,4840.0,295000.0,51
94538.0,Sundale,1.0,1.0,1200.0,,1974.0,3684.0,372000.0,51
94538.0,Sundale,1.0,1.0,1200.0,,1974.0,575.0,2200.0,51
94538.0,Sundale,1.0,1.0,1200.0,,1974.0,,nan,51
94536.0,Cherry-Guardino,3.0,2.0,1610.0,Condo,1995.0,0.0,871694.0,52
94536.0,Cherry-Guardino,3.0,2.0,1610.0,Condo,1995.0,8053.0,216000.0,52
94536.0,Cherry-Guardino,3.0,2.0,1610.0,Condo,1995.0,7457.0,240000.0,52
